time,games,steps,buffer,policy_loss,value_loss,positions_per_sec
1781312420,211,30,15749,6.1931,0.9341,320
1781312428,411,59,30620,3.8849,0.8739,1734
1781312522,511,74,38246,3.3525,0.8333,132
1781313008,511,74,38246,nan,nan,0
1781313106,611,89,46073,3.1880,0.8237,96
1781313108,711,103,53216,3.0915,0.8144,3268
1782359664,1011,148,76363,2.9945,0.8163,393
1782359671,1311,194,99840,2.8376,0.8055,3815
1782359863,1611,238,122221,2.7353,0.7976,519
1782359870,1911,284,146009,2.6663,0.7839,3402
1782359982,2211,329,168816,2.6431,0.7756,575
1782359988,2511,373,191591,2.6067,0.7719,3893
1782359994,2811,420,215579,2.5776,0.7727,3883
1782360000,3111,464,238310,2.5360,0.7787,3909
1782360006,3411,510,261925,2.5118,0.7770,4013
1782360011,3711,556,285373,2.4583,0.7787,4143
1782360986,4011,601,308512,2.4452,0.7889,592
1782360990,4311,647,332208,2.4337,0.7775,5409
1782360994,4611,692,355410,2.4107,0.7836,6223
1782361099,5611,849,435982,2.3812,0.7852,1811
1782361114,6611,1005,500000,2.3428,0.7819,5654
1782361128,7611,1158,500000,2.2940,0.7873,5385
1782361143,8611,1312,500000,2.2653,0.7864,5318
1782361158,9611,1466,500000,2.2262,0.7821,5224
1782361173,10611,1623,500000,2.1851,0.7852,5267
1782361192,11611,1778,500000,2.1738,0.7777,4322
1782361205,12611,1928,500000,2.1414,0.7751,5597
1782361219,13611,2076,500000,2.1249,0.7699,5435
1782361234,14611,2227,500000,2.0874,0.7708,5396
1782361248,15611,2379,500000,2.0654,0.7785,5315
1782361263,16611,2529,500000,2.0426,0.7721,5202
1782361278,17611,2677,500000,2.0263,0.7765,5065
1782361294,18611,2827,500000,2.0089,0.7754,4878
1782361310,19611,2975,500000,1.9939,0.7738,4749
1782361326,20611,3124,500000,1.9775,0.7703,4745
1782361343,21611,3277,500000,1.9672,0.7709,4634
1782361360,22611,3428,500000,1.9627,0.7674,4538
1782361377,23611,3576,500000,1.9500,0.7591,4527
1782361394,24611,3725,500000,1.9478,0.7500,4516
1782361412,25611,3875,500000,1.9346,0.7479,4279
1782361430,26611,4029,500000,1.9250,0.7464,4391
1782361450,27611,4172,500000,1.9034,0.7449,3649
1782361467,28611,4323,500000,1.9084,0.7430,4489
