time,games,steps,buffer,policy_loss,value_loss,games_per_min
1781311683,11,0,367,nan,nan,3.69
1782391830,1780619,267754,500000,1.4316,0.6607,76.59
1782392148,1780651,267762,500000,1.4457,0.7048,6.82
1782392304,1780683,267775,500000,1.4324,0.6928,12.42
1782392488,1780715,267787,500000,1.4681,0.6882,10.44
1782392638,1780747,267799,500000,1.4739,0.6813,12.89
1782392771,1780779,267811,500000,1.4607,0.6812,14.54
1782392972,1780811,267822,500000,1.4698,0.6809,9.57
1782393101,1780843,267834,500000,1.4711,0.6649,15.09
1782393282,1780876,267847,500000,1.4699,0.6601,10.95
1782393425,1780908,267858,500000,1.4545,0.6689,13.51
1782393579,1780940,267870,500000,1.4530,0.6565,12.53
1782393720,1780972,267881,500000,1.4811,0.6504,13.79
1782393864,1781004,267892,500000,1.4957,0.6498,13.37
1782394048,1781036,267903,500000,1.4822,0.6756,10.50
1782394197,1781068,267915,500000,1.5028,0.6443,13.12
1782394382,1781103,267929,500000,1.4893,0.6487,11.40
1782394517,1781135,267941,500000,1.4729,0.6586,14.78
1782394720,1781168,267953,500000,1.4952,0.6283,9.77
1782394853,1781201,267965,500000,1.4676,0.6237,15.00
1782395033,1781233,267976,500000,1.5087,0.6325,10.72
1782395165,1781266,267989,500000,1.4858,0.6207,15.05
1782395352,1781300,268001,500000,1.4722,0.6184,11.01
1782395507,1781332,268013,500000,1.5150,0.6289,12.46
1782395690,1781364,268025,500000,1.4833,0.6125,10.53
1782395824,1781396,268037,500000,1.5083,0.6201,14.36
1782396010,1781428,268049,500000,1.5069,0.6215,10.38
1782396171,1781461,268062,500000,1.4963,0.6006,12.40
1782396327,1781493,268073,500000,1.5341,0.6202,12.31
1782396476,1781525,268085,500000,1.5132,0.6087,13.01
1782396655,1781557,268097,500000,1.5197,0.6022,10.76
1782396807,1781589,268108,500000,1.5133,0.5951,12.72
1782396989,1781621,268121,500000,1.5261,0.6081,10.58
1782397135,1781653,268133,500000,1.5504,0.5974,13.22
1782397276,1781686,268145,500000,1.5358,0.5855,14.17
1782397420,1781718,268156,500000,1.5234,0.5850,13.39
1782397586,1781750,268166,500000,1.5309,0.5816,11.60
1782397755,1781782,268178,500000,1.5521,0.5572,11.43
1782397907,1781814,268190,500000,1.5362,0.5831,12.75
1782398074,1781846,268202,500000,1.5465,0.5662,11.51
1782398248,1781879,268215,500000,1.5370,0.5792,11.66
1782398418,1781911,268226,500000,1.5349,0.5683,11.31
1782398579,1781943,268239,500000,1.5391,0.5581,12.01
1782398727,1781975,268250,500000,1.5486,0.5656,13.03
1782398875,1782007,268262,500000,1.5473,0.5596,13.04
1782399054,1782039,268273,500000,1.5178,0.5585,10.82
1782399198,1782071,268286,500000,1.5492,0.5477,13.42
1782399352,1782103,268297,500000,1.5637,0.5544,12.46
1782399573,1782135,268309,500000,1.5431,0.5425,8.73
1782399708,1782168,268323,500000,1.5612,0.5453,14.86
1782399901,1782201,268337,500000,1.5652,0.5388,10.30
1782400059,1782234,268349,500000,1.5535,0.5296,12.59
1782400228,1782266,268361,500000,1.5581,0.5428,11.37
1782400390,1782299,268373,500000,1.5560,0.5282,12.31
1782400578,1782332,268385,500000,1.5742,0.5196,10.61
1782400674,1782365,268397,500000,1.5694,0.4996,20.74
1782400899,1782398,268410,500000,1.5848,0.5309,8.84
1782401067,1782430,268423,500000,1.5893,0.5182,11.43
1782401209,1782462,268435,500000,1.5848,0.5121,13.67
1782401363,1782494,268446,500000,1.5708,0.5210,12.49
1782401533,1782526,268457,500000,1.5963,0.5162,11.34
1782401698,1782558,268469,500000,1.6106,0.5277,11.74
1782401853,1782590,268483,500000,1.6089,0.5021,12.41
1782402027,1782622,268495,500000,1.6151,0.5073,11.08
1782402184,1782654,268506,500000,1.5926,0.4969,12.33
1782402312,1782686,268516,500000,1.6341,0.4987,15.06
1782402469,1782718,268528,500000,1.5837,0.4924,12.33
1782402632,1782750,268539,500000,1.6035,0.4923,11.79
1782402815,1782782,268552,500000,1.6312,0.4896,10.57
1782402971,1782814,268566,500000,1.6243,0.4940,12.35
1782403155,1782846,268577,500000,1.6145,0.4843,10.51
1782403283,1782878,268589,500000,1.6151,0.4774,15.05
1782403451,1782910,268600,500000,1.6294,0.4855,11.69
1782403635,1782942,268612,500000,1.6195,0.4635,10.49
1782403806,1782974,268625,500000,1.6379,0.4867,11.25
1782403975,1783006,268638,500000,1.6292,0.4821,11.44
1782404149,1783038,268651,500000,1.6165,0.4650,11.11
1782404268,1783070,268663,500000,1.6265,0.4680,16.20
1782404467,1783103,268674,500000,1.6553,0.4641,9.98
1782404630,1783135,268686,500000,1.6372,0.4622,11.86
1782404763,1783169,268700,500000,1.6855,0.4702,15.54
1782404938,1783201,268710,500000,1.6596,0.4727,11.05
1782405085,1783234,268722,500000,1.6586,0.4468,13.50
1782405261,1783266,268734,500000,1.6386,0.4392,11.01
1782405392,1783298,268746,500000,1.6539,0.4509,14.73
1782405562,1783330,268757,500000,1.6633,0.4446,11.38
1782405709,1783363,268768,500000,1.6487,0.4521,13.52
1782405868,1783395,268780,500000,1.6520,0.4517,12.17
